Unnamed: 0,Course Name,Course Acronym,Course Code,Prerequisites,Antirequisites,Semester,Sheet Link
,Applied Cryptography,AC,CSE546,CSE121,,Monsoon/Winter,https://docs.google.com/spreadsheets/d/e/2PACX-1vSWJUCylzX29PTREpCcRVShfDWJ24rPpROKjv0uIzctrCjDm79AzInOX0PAQ--AhNZy5u2oiXiMxHE8/pubhtml?gid=1240036307&amp;single=true&amp;widget=true&amp;headers=false
,Security Engineering,SE,CSE552,CSE231,,Monsoon/Winter,https://docs.google.com/spreadsheets/d/e/2PACX-1vTyP0cv0N-DEvqKWG8FPeh012vzsvFfBs94Zam4iJSTGUEk3aEJIWzcB5I4mrlPQo5tCP2FzIa3LWTj/pubhtml?gid=51694062&amp;single=true&amp;widget=true&amp;headers=false
,Introduction to Spatial Computing,ISC,CSE555,"CSE102,CSE202",,Monsoon,https://docs.google.com/spreadsheets/d/e/2PACX-1vQ9cG5YIZv4XiW11zYU-R4II2yNSORZEuliHmIywgFnBOb-5sLe4uEZU4IDM3_Y19z-2BHsXvscUUFE/pubhtml?gid=1834618791&amp;single=true&amp;widget=true&amp;headers=false
,Natural Language Processing,NLP,CSE556,"CSE101,MTH201,CSE222",,Winter,https://docs.google.com/spreadsheets/d/e/2PACX-1vTZjgCssn9j4pKtKxvAYlr_bT_lS3TwMNCz_yi3LzWQu-97AQ2Grhdwnk6RQJBmYA/pubhtml?widget=true&amp;headers=false
,Big Data Analytics,BDA,CSE557,CSE202,,Winter,https://docs.google.com/spreadsheets/d/e/2PACX-1vRLF-C_kh1pEmLUVRp5bx8PNkq6vC08qmBuE11qON9PfjqR68czj4QyT8uKhSogM8eL2tAIPiG5xzPA/pubhtml?gid=1494145128&amp;single=true&amp;widget=true&amp;headers=false
,Data Science,DSc,CSE558,CSE101,,Monsoon,https://docs.google.com/spreadsheets/d/1DvO9BNW2nASomSAziI-uDAkXQ9WEhqlr/pubhtml?widget=true&amp;headers=false
,Mining Large Networks,MLN,CSE559,"CSE222,CSE101,MTH201",,Winter,https://docs.google.com/spreadsheets/d/e/2PACX-1vQYSVZEL8oMRJNyEI4lZDG7zDwB4AvdFDhhSi_9sl4PciY5ODyJByaQlQ43J8t3URn1BxdYBz1qGFlv/pubhtml?gid=830139036&amp;single=true&amp;widget=true&amp;headers=false
,GPU Computing,GPU,CSE560,CSE101,,Winter,https://docs.google.com/spreadsheets/d/e/2PACX-1vSeu95TuSYS2lbQpGNd9cK4PpFQn_Kzxo8GRpBOqpJgz6s6ba4LawQPDnIvZf6calQlqM1IjYqJKtP9/pubhtml?gid=1824612221&amp;single=true&amp;widget=true&amp;headers=false
,Probabilistic Graphical Models,PGM,CSE561,MTH201,,Winter,https://docs.google.com/spreadsheets/d/e/2PACX-1vRnpyA_MfTGSxbMBvrdOOTqxTpWUrlHN0C4KMQmTjSREGDbZfEGZiEOp2QqbrUXpAboMPBFQtpUpFa4/pubhtml?gid=1195725779&amp;single=true&amp;widget=true&amp;headers=false
,Advanced Computer Vision,ACV,CSE562,CSE344/CSE544/ECE344/ECE544,,Monsoon,https://docs.google.com/spreadsheets/d/e/2PACX-1vRDiRxWKdlp8lH8Zb2Vc08DlqKfLLCyeaI0xVXmzK1q8ygANwr_BQMlaLsOwXsc3Q5lxweGQXgQ2Ick/pubhtml?gid=320273160&amp;single=true&amp;widget=true&amp;headers=false
,Multimedia Computing and Applications,MCA,CSE563,,,Winter,https://docs.google.com/spreadsheets/d/e/2PACX-1vRPk77grz5sfi_xCxUnDUZ_EhgaPqtWHxi7pytJNp8t-aRmY3KKBwuvSQnTdVqdO302DfG0pDnCdKog/pubhtml?gid=795052900&amp;single=true&amp;widget=true&amp;headers=false
,Software Defined Networking,SDN,CSE565,CSE232,,Monsoon,https://docs.google.com/spreadsheets/d/e/2PACX-1vRqSbd-HGRetQzY3NL4DoVh9IjQllH0uvLP5X9g6W1pnuu390IoOc3dUZtB_3iNET-hR4BA7ncJM7mc/pubhtml?gid=1361575125&amp;single=true&amp;widget=true&amp;headers=false
,Mobile and Middleware Systems,MMS,CSE566/DES5MMS,CSE535,,Monsoon,https://docs.google.com/spreadsheets/d/e/2PACX-1vQssNfFjBtnbwrcJ4mlu-tHBY9PEYzqrwbriHAuxO4mnJ8IAUiRy0v-owZvJTPWN4_VdsKhEnjgrQTd/pubhtml?gid=1203117463&amp;single=true&amp;widget=true&amp;headers=false
,Virtual Reality,VR,CSE570,,,Winter,https://docs.google.com/spreadsheets/d/e/2PACX-1vSexFyF8vEc5w_ijne0zUJtKhps-J8cnFeHSEgls4JsKHeh4FX2oMFwNy-ef8ZtIeIhSgOTNO0Jkezs/pubhtml?gid=1334876160&amp;single=true&amp;widget=true&amp;headers=false
,Introduction to Media Computing,IMC,CSE571,,,Monsoon/Winter,https://docs.google.com/spreadsheets/d/e/2PACX-1vThIPehWzKcu5B9mY1HTudCt6ZHqJzTXrawjmeeNcypG_v4C8LgnLjED9zingKCoL9WcShTUyqjqZ2j/pubhtml?gid=2138586563&amp;single=true&amp;widget=true&amp;headers=false
,Speech and Audio Processing,SAP,CSE572/ECE561,"MTH100,ECE250",,Monsoon,https://docs.google.com/spreadsheets/d/e/2PACX-1vQ4UuQ4NQeYSGQiH_bs5stmgUddQ-_yiJThh4NSpJIEVOFLWgWpWPofsCYmc2eFBw/pubhtml?widget=true&amp;headers=false
